class_id,class_name,correct,total,accuracy
11,boy,62,100,0.62
35,girl,66,100,0.66
47,maple_tree,66,100,0.66
96,willow_tree,66,100,0.66
59,pine_tree,70,100,0.7
72,seal,71,100,0.71
10,bowl,74,100,0.74
74,shrew,74,100,0.74
25,couch,76,100,0.76
52,oak_tree,76,100,0.76
98,woman,76,100,0.76
92,tulip,77,100,0.77
46,man,79,100,0.79
50,mouse,79,100,0.79
55,otter,80,100,0.8
64,possum,81,100,0.81
61,plate,83,100,0.83
4,beaver,84,100,0.84
33,forest,84,100,0.84
99,worm,84,100,0.84
2,baby,85,100,0.85
37,house,85,100,0.85
95,whale,85,100,0.85
45,lobster,86,100,0.86
67,ray,86,100,0.86
73,shark,86,100,0.86
13,bus,87,100,0.87
23,cloud,87,100,0.87
27,crocodile,87,100,0.87
30,dolphin,87,100,0.87
62,poppy,87,100,0.87
81,streetcar,87,100,0.87
42,leopard,88,100,0.88
83,sweet_pepper,88,100,0.88
84,table,88,100,0.88
86,telephone,88,100,0.88
63,porcupine,89,100,0.89
3,bear,90,100,0.9
24,cockroach,90,100,0.9
28,cup,90,100,0.9
54,orchid,90,100,0.9
70,rose,90,100,0.9
80,squirrel,90,100,0.9
16,can,91,100,0.91
19,cattle,91,100,0.91
26,crab,91,100,0.91
31,elephant,91,100,0.91
38,kangaroo,91,100,0.91
44,lizard,91,100,0.91
60,plain,91,100,0.91
65,rabbit,91,100,0.91
69,rocket,91,100,0.91
78,snake,91,100,0.91
7,beetle,92,100,0.92
15,camel,92,100,0.92
18,caterpillar,92,100,0.92
32,flatfish,92,100,0.92
36,hamster,92,100,0.92
5,bed,93,100,0.93
8,bicycle,93,100,0.93
17,castle,93,100,0.93
20,chair,93,100,0.93
29,dinosaur,93,100,0.93
40,lamp,93,100,0.93
51,mushroom,93,100,0.93
57,pear,93,100,0.93
71,sea,93,100,0.93
90,train,93,100,0.93
93,turtle,93,100,0.93
97,wolf,93,100,0.93
22,clock,94,100,0.94
34,fox,94,100,0.94
56,palm_tree,94,100,0.94
66,raccoon,94,100,0.94
76,skyscraper,94,100,0.94
87,television,94,100,0.94
88,tiger,94,100,0.94
89,tractor,94,100,0.94
6,bee,95,100,0.95
14,butterfly,95,100,0.95
39,keyboard,95,100,0.95
49,mountain,95,100,0.95
91,trout,95,100,0.95
12,bridge,96,100,0.96
21,chimpanzee,96,100,0.96
77,snail,96,100,0.96
82,sunflower,96,100,0.96
94,wardrobe,96,100,0.96
0,apple,97,100,0.97
1,aquarium_fish,97,100,0.97
9,bottle,97,100,0.97
43,lion,97,100,0.97
79,spider,97,100,0.97
41,lawn_mower,98,100,0.98
68,road,98,100,0.98
53,orange,99,100,0.99
58,pickup_truck,99,100,0.99
75,skunk,99,100,0.99
85,tank,99,100,0.99
48,motorcycle,100,100,1.0
